Branch,Zone,Service_Dealer_Type,Main_Outlet_code,Region_description,Name_1,City,Company_Code,Company_Name,Description
,,nan,SS03,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,SS07,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,SS11,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,I+,SS17,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,I+,SW02,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,I+,SW03,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,I+,SW08,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,I+,SW14,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,SW22,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,SU05,SOUTH 1,,TUMKUR,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,III,SS04,SOUTH 2,,GULBARGA,RAAM,RAAM4WHEELERS LLP,KARNATAKA
,,II,S306,SOUTH 1,,COCHIN,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,S308,SOUTH 1,,THRISSUR,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,S313,SOUTH 1,,KOTTAYAM,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,S306,SOUTH 1,,ALAPPUZHA,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,S306,SOUTH 1,,MUVATTUPUZHA,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,SS10,SOUTH 1,,<PERSON>,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,SN07,SOUTH 1,,MALAPPURAM,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,SN11,SOUTH 1,,KOTTAYAM,COAS,COASTLINE GARAGES INDIA,KERALA
,,nan,SS06,SOUTH 1,,CALICUT,COAS,COASTLINE GARAGES INDIA,KERALA
,,nan,SS10,SOUTH 1,,<PERSON>,COAS,COASTLINE GARAGES INDIA,KERALA
,,III,SW06,SOUTH 1,,CALICUT,COAS,COASTLINE GARAGES INDIA,KERALA
,,I,S306,SOUTH 2,,COCHIN,COAS,GARAGES,KERALA
,,I,S306,SOUTH 2,,COCHIN,COAS,"GARAGES, ALLEPPEY",KERALA
,,III,S317,SOUTH 1,,KANNUR,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,III,SN35,SOUTH 1,,KOLLAM,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,nan,SS16,SOUTH 1,,TRIVANDRUM,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,nan,SS21,SOUTH 1,,COCHIN,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,II,SW13,SOUTH 1,,TRIVANDRUM,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,nan,SW18,SOUTH 1,,KOCHI,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,nan,SU01,SOUTH 1,,THIRUVALLA,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,nan,SX01,SOUTH 1,,TRIVANDRUM,<PERSON>,FORTUNE MALAYALAM AUTOMOB,KERALA
,,II,S307,SOUTH 1,,TRIVANDRUM,POWH,POTHEN WHEELS PVT LTD,KERALA
,,III,SN08,SOUTH 1,,PATHNAMITHA,POWH,POTHEN WHEELS PVT LTD,KERALA
,,III,S307,SOUTH 1,,KOLLAM,POWH,POTHEN WHEELS PVT LTD,KERALA
,,III,SN21,SOUTH 1,,KOLLAM,POWH,POTHEN WHEELS PVT LTD,KERALA
,,II,SW07,SOUTH 1,,TRIVANDRUM,POWH,POTHEN WHEELS PVT LTD,KERALA
,,nan,W313,WEST 2,,SATNA,DSAP,DS AUTOMOTIVE PRIVATE LTD,MADHYA PRADESH
,,III,W315,WEST 2,,RATLAM,HCPL,HRIDAY CARS PVT. LTD.,MADHYA PRADESH
,,nan,W310,WEST 2,,INDORE,AERO,AEROMARK CARS PVT LTD,MADHYA PRADESH
,,nan,W311,WEST 2,,BHOPAL,AERO,AEROMARK CARS PVT LTD,MADHYA PRADESH
,,nan,WN35,WEST 2,,UJJAIN,AERO,AEROMARK CARS PVT LTD,MADHYA PRADESH
,,II,WW19,WEST 2,,BHOPAL,AERO,AEROMARK CARS PVT LTD,MADHYA PRADESH
,,II,WW20,WEST 2,,INDORE,AERO,AEROMARK CARS PVT LTD,MADHYA PRADESH
,,III,WS08,WEST 2,,RATLAM,HRID,HRIDAY CARS PVT. LTD,MADHYA PRADESH
,,nan,WS08,WEST 2,,INDORE,HRID,HRIDAY CARS PVT. LTD,MADHYA PRADESH
,,nan,WS09,WEST 2,,BHOPAL,HRID,HRIDAY CARS PVT. LTD,MADHYA PRADESH
,,II,WW08,WEST 2,,BHOPAL,HRID,HRIDAY CARS PVT. LTD,MADHYA PRADESH
,,II,WW10,WEST 2,,INDORE,HRID,HRIDAY CARS PVT. LTD,MADHYA PRADESH
,,III,W306,WEST 2,,JABALPUR,KHAT,KHATWANI MOTORS PVT LTD,MADHYA PRADESH
,,III,W306,WEST 2,,SATNA,KHAT,KHATWANI MOTORS PVT LTD,MADHYA PRADESH
,,III,W306,WEST 2,,CHHATARPUR,KHAT,KHATWANI MOTORS PVT LTD,MADHYA PRADESH
,,III,W306,WEST 2,,SHAHDOL,KHAT,KHATWANI MOTORS PVT LTD,MADHYA PRADESH
,,III,W306,WEST 2,,KATNI,KHAT,KHATWANI MOTORS PVT LTD,MADHYA PRADESH
,,III,W306,WEST 2,,DAMOH,KHAT,KHATWANI MOTORS PVT LTD,MADHYA PRADESH
,,III,WS17,WEST 2,,CHHINDWARA,PAPL,PATODI AUTOMOBILES PVT.LT,MADHYA PRADESH
,,III,WS16,WEST 2,,CHHINDWARA,PAPL,PATODI AUTOMOBILES PVT.LT,MADHYA PRADESH
,,III,W307,WEST 2,,GWALIOR,<PERSON>,SUMEDHA VEHICLES PVT LTD,MADHYA PRADESH
,,III,W307,WEST 2,,SHIVPURI,<PERSON>,SUMEDHA VEHICLES PVT LTD,MADHYA PRADESH
,,III,W309,WEST 1,,SOLAPUR,GANC,<PERSON> CARS,MAHARASHTRA
,,III,W314,WEST 1,,JALGAON,SULP,SARASWATI UNICORP LLP,MAHARASHTRA
,,nan,JS01,DIRECT SALES,,MUMBAI,JS01,JSW STEEL LIMITED,MAHARASHTRA
,,nan,WS24,WEST 1,,MUMBAI,AERO,AEROMARK CARS PVT LTD,MAHARASHTRA
,,I+,WW25,WEST 1,,MUMBAI,AERO,AEROMARK CARS PVT LTD,MAHARASHTRA
,,I+,W302,WEST 1,,MUMBAI,ARNV,KRISHIV AUTO AGENCIES,MAHARASHTRA
,,nan,WE04,WEST 1,,MUMBAI,ARNV,KRISHIV AUTO AGENCIES,MAHARASHTRA
,,III,WN30,WEST 1,,MUMBAI,ARNV,KRISHIV AUTO AGENCIES,MAHARASHTRA
,,nan,WS11,WEST 1,,MUMBAI,ARNV,KRISHIV AUTO AGENCIES,MAHARASHTRA
